WeekStartDate,Forecast_Or_Actual_Value,Forecast_Or_Actual_Value_Legend
23-Dec-2024,,2024-25-RSA Contracted Energy Demand
30-Dec-2024,,2024-25-RSA Contracted Energy Demand
20-Jan-2025,,2024-25-RSA Contracted Energy Demand
27-Jan-2025,,2024-25-RSA Contracted Energy Demand
06-Jan-2025,,2024-25-RSA Contracted Energy Demand
13-Jan-2025,,2024-25-RSA Contracted Energy Demand
05-Aug-2024,,2024-25-RSA Contracted Energy Demand
12-Aug-2024,,2024-25-RSA Contracted Energy Demand
19-Aug-2024,,2024-25-RSA Contracted Energy Demand
26-Aug-2024,,2024-25-RSA Contracted Energy Demand
29-Jul-2024,,2024-25-RSA Contracted Energy Demand
30-Sep-2024,,2024-25-RSA Contracted Energy Demand
07-Oct-2024,,2024-25-RSA Contracted Energy Demand
14-Oct-2024,,2024-25-RSA Contracted Energy Demand
21-Oct-2024,,2024-25-RSA Contracted Energy Demand
09-Sep-2024,,2024-25-RSA Contracted Energy Demand
16-Sep-2024,,2024-25-RSA Contracted Energy Demand
23-Sep-2024,,2024-25-RSA Contracted Energy Demand
02-Sep-2024,,2024-25-RSA Contracted Energy Demand
01-Apr-2024,3985.6210000000001,2024-25-RSA Contracted Energy Demand
29-Apr-2024,4029.1280000000002,2024-25-RSA Contracted Energy Demand
22-Apr-2024,4064.4520000000002,2024-25-RSA Contracted Energy Demand
06-May-2024,4068.6109999999999,2024-25-RSA Contracted Energy Demand
15-Apr-2024,4104.2809999999999,2024-25-RSA Contracted Energy Demand
08-Apr-2024,4108.3649999999998,2024-25-RSA Contracted Energy Demand
13-May-2024,4132.6859999999997,2024-25-RSA Contracted Energy Demand
20-May-2024,4178.9300000000003,2024-25-RSA Contracted Energy Demand
27-May-2024,4205.1700000000001,2024-25-RSA Contracted Energy Demand
17-Jun-2024,4410.4470000000001,2024-25-RSA Contracted Energy Demand
22-Jul-2024,4410.9639999999999,2024-25-RSA Contracted Energy Demand
15-Jul-2024,4426.7920000000004,2024-25-RSA Contracted Energy Demand
01-Jul-2024,4429.384,2024-25-RSA Contracted Energy Demand
24-Jun-2024,4435.9489999999996,2024-25-RSA Contracted Energy Demand
03-Jun-2024,4441.4949999999999,2024-25-RSA Contracted Energy Demand
10-Jun-2024,4483.0820000000003,2024-25-RSA Contracted Energy Demand
08-Jul-2024,4513.8130000000001,2024-25-RSA Contracted Energy Demand
